"filename", "language", "YAML", "HTML", "C++", "JSON", "Markdown", "Dart", "Swift", "Groovy", "Properties", "XML", "Java", "comment", "blank", "total"
"/Users/girithc/work/pronto/lib/catalog/category/api_client_catalog.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 11, 44
"/Users/girithc/work/pronto/lib/catalog/constants.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/girithc/work/pronto/lib/catalog/item/api_client_item.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 13, 76
"/Users/girithc/work/pronto/lib/category_items/category_items_screen.dart", "Dart", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 4, 13, 269
"/Users/girithc/work/pronto/lib/deprecated/cart.dart", "Dart", 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 4, 12, 213
"/Users/girithc/work/pronto/lib/deprecated/login/debouncer.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/girithc/work/pronto/lib/deprecated/login/login_screen.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 4, 66
"/Users/girithc/work/pronto/lib/home/api_client_home.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 13, 59
"/Users/girithc/work/pronto/lib/home/components/horizontal_scroll_items.dart", "Dart", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 5, 4, 202
"/Users/girithc/work/pronto/lib/home/components/location_list_tile.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/girithc/work/pronto/lib/home/components/network_utility.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/girithc/work/pronto/lib/home/home_screen.dart", "Dart", 0, 0, 0, 0, 0, 452, 0, 0, 0, 0, 0, 26, 35, 513
"/Users/girithc/work/pronto/lib/home/models/place_auto_complete_response.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 7, 32
"/Users/girithc/work/pronto/lib/home/models/prediction_auto_complete.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/girithc/work/pronto/lib/item/product.dart", "Dart", 0, 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 12, 13, 518
"/Users/girithc/work/pronto/lib/login/login_status_provider.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/girithc/work/pronto/lib/login/phone_api_client.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"/Users/girithc/work/pronto/lib/login/phone_screen.dart", "Dart", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 1, 7, 183
"/Users/girithc/work/pronto/lib/login/verify_screen.dart", "Dart", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 5, 14, 195
"/Users/girithc/work/pronto/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 1, 15, 155
"/Users/girithc/work/pronto/lib/order/confirmed_order_screen.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/girithc/work/pronto/lib/order/place_order_screen.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 12, 116
"/Users/girithc/work/pronto/lib/search/constants.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
